Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13354172,"City of Dragons (The Rain Wild Chronicles, #3)",Robin Hobb,"Hobb, Robin",,"=""0007290268""","=""9780007290260""",3,4.10,,Kindle Edition,433,,2011,2022/05/05,2022/05/04,,,read,,,,1,0
11104429,"Dragon Haven (Rain Wild Chronicles, #2)",Robin Hobb,"Hobb, Robin",,"=""0007353200""","=""9780007353200""",3,4.10,Harper Voyager,Kindle Edition,528,2010,2010,2022/04/24,2022/04/24,,,read,,,,1,0
180467,Self-Editing for Fiction Writers: How to Edit Yourself Into Print,Renni Browne,"Browne, Renni",Dave King,"=""0060545690""","=""9780060545697""",4,4.24,William Morrow Paperbacks,Paperback,288,2004,1993,2022/04/20,2022/04/20,,,read,,,,1,0
58995829,"The Hunger of the Gods (The Bloodsworn Saga, #2)",John Gwynne,"Gwynne, John",,"=""0316539937""","=""""",3,4.55,Orbit,Kindle Edition,673,2022,2022,2022/04/19,2022/01/22,,,read,,,,1,0
27866682,The Long List Anthology: More Stories From the Hugo Award Nomination List,David Steffen,"Steffen, David","Elizabeth Bear, Annie Bellet, Aliette de Bodard, Amal El-Mohtar, Eugie Foster, Ken Liu, Yoon Ha Lee, Scott Lynch, Rachel Swirsky, Rachael K. Jones, T. Kingfisher, Kai Ashante Wilson, Ruthanna Emrys, Alaya Dawn Johnson, Carmen Maria Machado, Tom Crosshill, Sam J. Miller, Usman T. Malik, Max Gladstone","=""""","=""""",3,3.95,"Diabolical Plots, L.L.C.",Kindle Edition,499,2015,2015,2022/04/15,2022/04/15,,,read,,,,1,0
28715,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""0679641041""","=""9780679641049""",5,4.16,Modern Library,Hardcover,351,2001,1985,2022/04/10,2022/04/10,,,read,,,,1,0
54849799,"Revise: The Scholar-Writer’s Essential Guide to Tweaking, Editing, and Perfecting Your Manuscript",Pamela Haag,"Haag, Pamela",,"=""0300243677""","=""9780300243673""",5,4.00,Yale University Press,Hardcover,360,2021,,2022/04/11,2022/04/11,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Chris Mould, Αύγουστος Κορτώ, Boris Grabnar, Celâl Üster, Николай Николов, Κυριάκος Ντελόπουλος, Peter Škerl, Pau Masiques, José Manuel Moreno Cidoncha, Τζωρτζ Όργουελ, Celâl Üstüner","=""""","=""""",5,3.99,Plume,Paperback,122,2003,1945,,2011/05/20,,,read,,,,1,0
394641,Animal Farm,George Orwell,"Orwell, George",Julian Symons,"=""0679420398""","=""9780679420392""",4,3.99,Everyman's Library,Hardcover,113,1993,1945,2022/04/06,2022/04/06,,,read,,,,1,0
4703450,"The Dragon Keeper (Rain Wild Chronicles, #1)",Robin Hobb,"Hobb, Robin",,"=""0007273746""","=""9780007273744""",3,3.96,Voyager,Hardcover,553,2009,2009,2022/04/05,2022/04/05,,,read,,,,1,0
54399326,Lonesome Dove,Larry McMurtry,"McMurtry, Larry",,"=""068487122X""","=""9780684871226""",5,4.53,Simon & Schuster,Hardcover,857,2000,1985,2022/03/31,2022/03/31,,,read,,,,1,0
263357,Creating Short Fiction: The Classic Guide to Writing Short Fiction,Damon Knight,"Knight, Damon",,"=""0312150946""","=""9780312150945""",3,4.04,St. Martin's Griffin,Paperback,209,1993,1981,2022/03/30,2022/02/10,,,read,,,,1,0
23719233,100 Years Of The Best American Short Stories,Lorrie Moore,"Moore, Lorrie",Heidi Pitlor,"=""0547485859""","=""9780547485850""",4,4.14,Mariner Books,Hardcover,752,2015,2015,2022/03/22,2022/03/22,,,read,,,,1,0
331679,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",3,3.85,Alfred A. Knopf,Hardcover,288,2005,2005,2022/03/20,2022/03/19,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,New American Library,Mass Market Paperback,328,1950,1949,,2011/05/20,,,read,,,,2,0
53233940,The Great Gatsby: Introduction by Malcolm Bradbury (Everyman's Library Contemporary Classics Series),F. Scott Fitzgerald,"Fitzgerald, F. Scott",Malcolm Bradbury,"=""1101908297""","=""9781101908297""",4,3.93,Everyman's Library,Hardcover,208,2021,1925,2011/02/01,2011/05/20,,,read,,,,2,0
30193441,"Fool's Fate (Tawny Man, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.47,Spectra ,Mass Market Paperback,914,2004,2003,2022/03/13,2022/03/13,,,read,,,,1,0
33514,The Elements of Style,William Strunk Jr.,"Jr., William Strunk",E.B. White,"=""""","=""""",5,4.18,Allyn & Bacon,Hardcover,105,1999,1918,2014/05/20,2014/05/20,,,read,,,,2,0
